Years,Month,Temp,p,eip,vc
1985,4,33.02,0.8397712720000001,6.521739130434781,0.0146682969573861
1985,5,31.87,0.8587575420000003,6.994328922495273,0.018111251282569
1985,6,28.79,0.8989244380000001,8.678655199374512,0.0297776455871183
1985,7,26.45,0.9190409500000002,10.62200956937799,0.038651250195193
1985,8,26.41,0.919306758,10.662824207492797,0.0387700504917273
1985,9,26.56,0.918296448,10.511363636363638,0.0383152625949176
1985,10,28.52,0.9017038720000002,8.865814696485623,0.0308947315534743
1985,11,28.86,0.8981843280000003,8.631415241057542,0.0294879617690228
1985,12,26.2,0.9206592,10.882352941176473,0.0393620801039951
1986,1,26.84,0.9163118080000002,10.239852398523986,0.0374036926138293
1986,2,30.96,0.8722442880000001,7.419786096256684,0.0212282604571923
1986,3,32.16,0.8541742080000002,6.868811881188121,0.0171903141552188
1986,4,33.25,0.8357137500000003,6.434782608695652,0.0140461562617757
1986,5,31.3,0.8673642000000001,7.254901960784314,0.0200241552763735
1986,6,28.57,0.9011981820000002,8.83054892601432,0.0306880668989892
1986,7,26.47,0.918907062,10.601719197707736,0.0385911626417014
1986,8,26.59,0.9180899580000002,10.48158640226629,0.0382213492921986
1986,9,26.52,0.918569472,10.551330798479087,0.0384389816857451
1986,10,28.17,0.905128902,9.120788824979456,0.0323337482337874
1986,11,27.44,0.911626048,9.702797202797202,0.035232123333701
1986,12,26.28,0.920152512,10.797665369649804,0.0391430197920815
1987,1,28.45,0.9024049500000002,8.91566265060241,0.031183746067942
1987,2,30.88,0.8733649920000002,7.459677419354839,0.021518167677291
1987,3,31.52,0.8641054720000001,7.152061855670103,0.0192698743269474
1987,4,33.44,0.8322964480000004,6.36467889908257,0.0135485141207403
1987,5,33.12,0.838017792,6.483644859813085,0.0143951270828928
1987,6,28.61,0.900790678,8.80253766851705,0.0305226328717231
1987,7,27.52,0.910956672,9.635416666666668,0.034925168004855
1987,8,27.01,0.915044118,10.081743869209808,0.0368153249384111
1987,9,27.54,0.910787688,9.618717504332755,0.0348479159206769
1987,10,28.65,0.9003805500000002,8.774703557312254,0.0303571312864634
1987,11,28.88,0.8979713920000002,8.618012422360248,0.0294052232604048
1987,12,27.66,0.909760008,9.519725557461406,0.0343804064840514
1988,1,27.67,0.909673302,9.511568123393316,0.0343411543524604
